ID,Hostel_name,address,pincode,latitude,longitude,review,Rating,wifi,ac,laundry,security,price
74,SLN Homes Ladies Hostel,"No18/19, 2nd Main Vijayshree Layout, Bannerghatta Road",560078,12.88268175,77.59549794,,4.8,,,,,5000
75,Aravind Modern Nest PG,"No.32, Arvind Complex, Kanakapura Main Road, 1st Phase, Jp Nagar",560070,12.90420247,77.58568192,,3.9,,,,,4000
76,Sree Chakra Paying Guest Accommodation,"No. 224/54, 45th Cross, 8th Block, Jayanagar 8th Block",560078,12.91800209,77.5779219,,4.1,,,,,3500
77,Shree Vigneshwara Luxuries,"H.No.6, 20th Cross, 24th Main Road, Jp Nagar 5th Phase",560078,12.89782028,77.58636274,,4.6,,,,,4000
78,Sri Vinayaka PG,"No 1/A, 18th Cross, 23rd Main, Jp Nagar 5th Phase, Bangalore",560078,12.9008582,77.5864443,,4.9,,,,,5000
79,Lakshmi Villas,"No 19, 17th Cross, 26th B Main, Murthappa Garden, Jp Nagar 6th Phase",560041,12.9026843,77.58464133,,4.1,,,,,5000
80,Sri Ram Sri Lakshmi Pg,"No 701, Sri Ram Pg For Gents, Jayanagar 5th Block(Near Ragavendra Swami Matha)",560078,12.91806215,77.58606574,,3.7,,,,,5400
81,Friends Pg,"No 18, 5th A Cross, 24th Main, JP Nagar, 2nd Phase, Jp Nagar(Near R V Dental Colleage)",560078,12.91296871,77.58597353,,4,,,,,3400
82,Mohan Vatika,"# 5, Sukh Mohan Villa, Apartment Road, 5th Phase, Jp Nagar",560078,12.90280342,77.59183684,,3.3,,,,,4500
83,Karnataka Paying Guest,Karnataka Paying Guest(Near Inchara Hotel),560078,12.90369761,77.58210517,,3.8,,,,,5000
84,Shri Shyam Vaishnavi Gents P G,"No 7, 30th Main, Jp Nagar 1st Phase(Opp Oxford School and Behind RV Dental College)",560078,12.91046998,77.58166063,,4.4,,,,,5500
85,MGR & Amaravathi Paying Guest,"#86 15th Cross, 15th Main J P Nagar 2nd Phase, Jp Nagar(Near Vet College)",560078,12.90788247,77.59142227,,3.5,,,,,3500
86,Aarush Ladies Pg,"No 13/1, 26 Th Main, 17th Cross, Jp Nagar 6th Phase(Near Inchara Hotel)",560078,12.90198344,77.58498871,,3.7,,,,,4000
87,Anagha Ladies PG,"No 129, 3rd Cross, Pai Layout, Bannerughatta Road, Hulimavu(Near Cafe Kabana) 

",560076,12.88146875,77.59745814,,4.7,,,,,5000
88,S A PG FOR GENTS,"Dev Residency No.338, Venugopal Reddy Layout, 1st Cross, 2nd Main Arekere, Bannerghatta Road, Bangalore - 560076 (Behind Meenakshi Residency Apartment)",560070,12.88716514,77.60038333,,4.9,,,,,7000
89,Swathi Luxuries Pg For Women,"3286/A, KR Main Road, 17th Cross Rd, Banashankari Stage II, Banashankari 2nd Stage, Bangalore - 560070 (Near Akshya Hospital)",560076,12.92621801,77.57317777,,4.2,,,,,4500
90,Star PG,"No.10-4, 29th Main, BTM Layout 2nd Stage, bangalore - 560076 (Near Vijaya Bank)",560076,12.90605084,77.60386381,,4.9,,,,,6000
91,S T R Pg For Gents,"No 11, 4th A Main, MS Palya, BTM Layout 2nd Stage, Bangalore - 560076 (Behind Vega City Mall)",560069,12.90509154,77.60425999,,3.6,,,,,4500
92,Slv Ragigudda Ladies Pg,"SLV RAGIGUDDA PG FOR LADIES No.1991, E Cross, Jayanagar 9th Block, Bangalore - 560069 (SLV Raggiguda Hotel, Raggiguda Temple)",560004,12.91541995,77.59474583,,3.6,,,,,5000
93,Vinayaka PG Accommodation,"No 240/1, 3rd Main, 2nd Cross Byrappa Block, Thyagaraja Nagar, Bangalore - 560004 (Shanimathma Temple)",560041,12.93486395,77.5528899,,3.1,,,,,4500
94,Sri Nimishamba Ladies Pg,"Amar Nivas, No.33/93, 5th Main, Jayanagar 5th Block, Bangalore - 560041 (Near Sangam Signal)",560069,12.91843909,77.58063684,,3.9,,,,,6000
95,Shree Bhargavi Luxurious PG,"AVR Arcade, #922, 28th Main, East End Road, Jayanagar 9th Block, Bangalore - 560069 (Near Karnataka Bank)",560085,12.91955292,77.59512189,,4.5,,,,,7000
96,Castle Ladies PG,"House No 06 Kmaashi Bharma Ppa, 5th Main Road, Girinagar, Banashankari 3rd Stage, bangalore - 560085 (Above Pb Varior Bakery, Near Avalahalli Bda Park Bus Stop)",560004,12.94375018,77.54002154,,4.9,,,,,4500
97,Chegus Serene,"Door No 17, Patalama Temple Road, Basavanagudi, Bangalore - 560004 (Opst Pai Conversion Hall)",560011,12.93932756,77.56733726,,4.7,,,,,8000
98,KEERTHI LADIES PG,"No 177/B, 1/1, 7th B Main, 3rd Block, Jayanagar 3rd Block, Bangalore - 560011 (Next to Menaka Card, Opp to N M R K V College.)",560069,12.9256782,77.57248784,,4.4,,,,,5000
99,Sai Eshwar Pg For Ladies,"No 1626, 40th A Cross 18th Main Road, Jayanagar 9th Block, Bangalore - 560069 (Near Jain College)",,12.91805916,77.5945141,,4.9,,,,,6000
