Address,rating,Hostel_name,Tags,Locality
"No 7, 30th Main, Jp Nagar 1st Phase(Opp Oxford School and Behind RV Dental College)",4.4,Shri Shyam Vaishnavi Gents P G,"['Laundry','Security','Non-Veg','Men']",JP Nagar
"#86 15th Cross, 15th Main J P Nagar 2nd Phase, Jp Nagar(Near Vet College)",3.5,MGR & Amaravathi Paying Guest,"['Security','Veg','Men']",JP Nagar
"No 13/1, 26 Th Main, 17th Cross, Jp Nagar 6th Phase(Near Inchara Hotel)",3.7,Aarush Ladies Pg,"['Security','Veg','women','girls']",JP Nagar
"No 129, 3rd Cross, Pai Layout, Bannerughatta Road, Hulimavu(Near Cafe Kabana) 

",4.7,Anagha Ladies PG,"['AC','Security','Veg','Laundry','women','girls']",Hulimavu
"Dev Residency No.338, Venugopal Reddy Layout, 1st Cross, 2nd Main Arekere, Bannerghatta Road, Bangalore - 560076 (Behind Meenakshi Residency Apartment)",4.9,S A PG FOR GENTS,"['AC','Security','Veg','Laundry','Men']",Bannerghatta Road
"3286/A, KR Main Road, 17th Cross Rd, Banashankari Stage II, Banashankari 2nd Stage, Bangalore - 560070 (Near Akshya Hospital)",4.2,Swathi Luxuries Pg For Women,"['Laundry','Security','Non-Veg','women','girls']",Banashanakri
"No.10-4, 29th Main, BTM Layout 2nd Stage, bangalore - 560076 (Near Vijaya Bank)",4.9,Star PG,"['AC','Security','Veg','Laundry','women','girls']",BTM Layout
"No 11, 4th A Main, MS Palya, BTM Layout 2nd Stage, Bangalore - 560076 (Behind Vega City Mall)",3.6,S T R Pg For Gents,"['Security','Veg','Men']",BTM Layout
"SLV RAGIGUDDA PG FOR LADIES No.1991, E Cross, Jayanagar 9th Block, Bangalore - 560069 (SLV Raggiguda Hotel, Raggiguda Temple)",3.6,Slv Ragigudda Ladies Pg,"['Security','Veg','women','girls']",Jayanagar
"No 240/1, 3rd Main, 2nd Cross Byrappa Block, Thyagaraja Nagar, Bangalore - 560004 (Shanimathma Temple)",3.1,Vinayaka PG Accommodation,"['Security','Veg','Men']",Thyagaraja Nagar
"Amar Nivas, No.33/93, 5th Main, Jayanagar 5th Block, Bangalore - 560041 (Near Sangam Signal)",3.9,Sri Nimishamba Ladies Pg,"['Security','Veg','women','girls']",Jayanagar
"AVR Arcade, #922, 28th Main, East End Road, Jayanagar 9th Block, Bangalore - 560069 (Near Karnataka Bank)",4.5,Shree Bhargavi Luxurious PG,"['Laundry','Security','Non-Veg','women','girls']",Jayanagar
"House No 06 Kmaashi Bharma Ppa, 5th Main Road, Girinagar, Banashankari 3rd Stage, bangalore - 560085 (Above Pb Varior Bakery, Near Avalahalli Bda Park Bus Stop)",4.9,Castle Ladies PG,"['AC','Security','Veg','Laundry','women','girls']",Girinagar
"Door No 17, Patalama Temple Road, Basavanagudi, Bangalore - 560004 (Opst Pai Conversion Hall)",4.7,Chegus Serene,"['AC','Security','Veg','Laundry','women','girls']",Basavanagudi
"No 177/B, 1/1, 7th B Main, 3rd Block, Jayanagar 3rd Block, Bangalore - 560011 (Next to Menaka Card, Opp to N M R K V College.)",4.4,KEERTHI LADIES PG,"['Laundry','Security','Non-Veg','women','girls']",Jayanagar
"No 1626, 40th A Cross 18th Main Road, Jayanagar 9th Block, Bangalore - 560069 (Near Jain College)",4.9,Sai Eshwar Pg For Ladies,"['AC','Security','Veg','Laundry','women','girls']",Jayanagar
